date,weekday,time,duration,Rate (walkers/min),walkers/10 min,focus/work done,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
6/2/2025,Monday,8:00 AM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:30 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:40 AM,10,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:50 AM,10,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:00 AM,10,0.3,3,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:10 AM,10,0.5,5,2,,1,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:20 AM,10,0.2,2,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:30 AM,10,0.4,4,2,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:40 AM,10,2.2,22,0,,,,2,,1,2,2,2,2,3,,1,,,,,1,,1,,,,1,,,,4,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,9:50 AM,10,1,10,1,,,,,,1,2,3,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:00 AM,10,1.3,13,0,2,,,2,,2,2,,2,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:10 AM,10,0.9,9,1,,3,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:20 AM,10,2,20,0,1,,,,,,2,1,2,,,1,,1,1,2,,,4,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:30 AM,10,1.3,13,1,,,,,,,,,4,,3,2,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:40 AM,10,1.2,12,1,,,,,,,1,,2,,,1,,2,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,10:50 AM,10,0.8,8,1,,2,,,,,1,,,,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,11:00 AM,10,1.2,12,1,1,,,,,,1,,,,,,,,1,,4,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
6/2/2025,Monday,11:10 AM,10,0.2,2,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,11:20 AM,10,1.1,11,1,,,,,,,1,,,2,,,,,,,,,2,,,,,,,1,1,,,,,,,,,,,,,2,2,,,,,,,,
6/2/2025,Monday,11:30 AM,10,1.7,17,0,,2,,,,,4,2,1,,1,,,,2,2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,11:40 AM,10,0.6,6,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,
6/2/2025,Monday,11:50 AM,10,1.4,14,1,,,,1,,,2,6,1,,,,,1,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,
6/2/2025,Monday,12:00 PM,10,0.4,4,2,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,12:10 PM,10,2.2,22,0,,,,,,2,,1,,1,1,3,,,,1,1,,4,,,,,3,,,3,,,,,1,1,,,,,,,,,,,,,,,,
6/2/2025,Monday,12:20 PM,10,1,10,1,,,,,,2,,,4,,,,,,,,,,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,
6/2/2025,Monday,12:30 PM,10,0.5,5,2,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,12:40 PM,10,0.5,5,2,,,,,,,,,1,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,12:50 PM,10,0.5,5,2,,2,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,1:00 PM,10,3,30,0,,,,,,,1,1,2,5,1,,1,,3,1,2,,,,,1,,,,,,2,,1,1,1,1,1,1,,,,,,,4,,,,,,,
6/2/2025,Monday,1:10 PM,10,0.8,8,2,,,,,,1,,1,2,,,1,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,1:20 PM,10,1.7,17,0,,,,,,1,1,3,5,4,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,1:30 PM,10,1.6,16,0,,,,,,2,2,1,,5,,2,1,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,1:40 PM,10,0.9,9,1,,2,,,,,,,,2,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,1:50 PM,10,0.9,9,1,,,,,,,3,,,3,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:00 PM,10,0.2,2,2,,,,,,,,,,,,,1, ,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:10 PM,10,0.8,8,1,,,,,,,,,,,,,3,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:20 PM,10,1.1,11,1,,,,,,,3,1,,,,,,4,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:30 PM,10,0.6,6,2,,,,,,,1,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:40 PM,10,0.8,8,1,,1,,,,,2,,,1,,,1,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,2:50 PM,10,0.4,4,2,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:00 PM,10,1.5,15,0,1,,,,,,2,,1,3,,,,1,,1,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,
6/2/2025,Monday,3:10 PM,10,0.7,7,1,,,,,,,,,1,1,2,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:20 PM,10,0.3,3,2,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:30 PM,10,1.6,16,0,,,,,,,3,,,2,2,1,,,1,,2,,2,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6/2/2025,Monday,3:40 PM,10,1.4,14,1,,,,,,1,4,1,,3,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,3:50 PM,10,1.2,12,1,,,,,,,2,2,3,1,1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:00 PM,10,0.7,7,2,,,,,,,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:10 PM,10,0.8,8,2,1,,,,,,1,1,1,2,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,4:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,5:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,6:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,7:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,Monday,8:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:00 AM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:30 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:40 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:50 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,9:00 AM,10,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,9:10 AM,10,1.6,16,1,,,,,,,,1,1,,,,,,,,4,1,,2,,,,2,,2,,3,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,9:20 AM,10,1.1,11,1,1,,,,,,4,,,,2,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
6/3/2025,Tuesday,9:30 AM,10,2.2,22,0,,1,,3,,,2,,4,,,,,1,1,,1,,,,,2,,,,,,2,,2,,,,,,,,,,3,,,,,,,,,
6/3/2025,Tuesday,9:40 AM,10,1.1,11,1,,,,2,,2,,2,,1,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,9:50 AM,10,0.5,5,2,,2,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,10:00 AM,10,0.6,6,2,,,,,,2,,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,10:10 AM,10,2.3,23,0,,6,,,,,1,,5,1,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,
6/3/2025,Tuesday,10:20 AM,10,1,10,1,,,,,,,1,,1,,2,,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,
6/3/2025,Tuesday,10:30 AM,10,1.8,18,0,3,2,,,,,,,2,,,,,,2,3,2,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,
6/3/2025,Tuesday,10:40 AM,10,0.8,8,1,,3,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
6/3/2025,Tuesday,10:50 AM,10,1.6,16,0,,,,,,,6,,3,,,,,,,1,3,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,11:00 AM,10,0.8,8,1,,2,,,,,1,,1,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,11:10 AM,10,1.9,19,0,,,,,,2,2,,2,6,2,,,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,11:20 AM,10,1.3,13,1,,1,,,,2,2,,1,1,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,3,,,,,,,,,
6/3/2025,Tuesday,11:30 AM,10,1.8,18,0,,3,,,,,1,,5,,,,,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
6/3/2025,Tuesday,11:40 AM,10,1.2,12,1,,,,,,,1,,1,,1,,,,1,,,,,,,2,,4,,,,,,,,,,,,,,,,2,,,,,,,,,
6/3/2025,Tuesday,11:50 AM,10,0.4,4,2,,1,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:00 PM,10,0.9,9,1,,,,,,,,,2,,,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:10 PM,10,0.8,8,1,,,,,,2,,1,,,2,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:20 PM,10,1,10,1,,,,,,,,1,,1,,,1,2,,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:30 PM,10,0.9,9,1,,,,,,1,,1,2,,1,,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:40 PM,10,0.2,2,3,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,12:50 PM,10,0.7,7,2,,,,,,2,,,,,,,,,1,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,1:00 PM,10,2.4,24,0,,,,,,,,3,3,5,,,,1,,3,1,4,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,
6/3/2025,Tuesday,1:10 PM,10,0.9,9,1,,,,,,,,2,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
6/3/2025,Tuesday,1:20 PM,10,0.8,8,1,,,,,,,,,1,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
6/3/2025,Tuesday,1:30 PM,10,0.9,9,1,,,,,,,3,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
6/3/2025,Tuesday,1:40 PM,10,2.3,23,0,4,,,,,,1,1,1,,2,,,,2,6,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
6/3/2025,Tuesday,1:50 PM,10,2.9,29,0,4,,,,,2,2,2,3,1,,,1,,4,1,5,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,
6/3/2025,Tuesday,2:00 PM,10,1.6,16,0,1,1,,,,1,3,1,1,3,,,,,3,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,2:10 PM,10,1.1,11,1,,,,,,1,,6,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,2:20 PM,10,1.5,15,0,,,,,,,3,5,1,3,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,2:30 PM,10,0.6,6,2,,,,,,1,,,1,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,2:40 PM,10,0.2,2,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,2:50 PM,10,1.5,15,,2,,,,,,,2,1,2,,,,,1,,2,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:00 PM,10,0.6,6,,,,,,,,,,3,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:10 PM,10,0.4,4,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:20 PM,10,0.9,9,,,,,,,,,2,5,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:30 PM,10,0.8,8,,,,,,,,,2,,1,,,,,,,,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:40 PM,10,1,10,,1,1,,,,3,,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,3:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:00 PM,10,0.4,4,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,4:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,5:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,6:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:10 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:20 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:30 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:40 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,7:50 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2025,Tuesday,8:00 PM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:00 AM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:30 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:40 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,8:50 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,9:00 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,9:10 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2025,Wednesday,9:20 AM,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
