Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Design asset type),Custom field (Design reference),Custom field (Details),Custom field (Development),Custom field (Entitlement),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Operational categorization),Custom field (Pending reason),Custom field (Product categorization),Custom field (Project deliverables),Custom field (Project focus),Custom field (Project milestones),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Related projects),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Jerome Glass,HT10200-361,11427,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,11/Jun/25 12:34 PM,11/Jun/25 12:34 PM,01/Jul/25 12:40 PM,,,0,Jerome Architectural Metal Corp,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@259a6828,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gw:i,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:34 PM
BACKOFFICE,HT10200-360,11426,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,11/Jun/25 12:32 PM,11/Jun/25 12:35 PM,01/Jul/25 2:48 PM,,,0,"for all projects which do not have a specific client or address, especially stuff that doesnt require any engineering work

 MISCELLANEOUS UNORGANIZED PROJECTS",,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d706bd5,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gw:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:32 PM
Access Door,HT10200-359,11425,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,11/Jun/25 12:25 PM,11/Jun/25 12:25 PM,01/Jul/25 12:40 PM,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@365006ad,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gx:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:25 PM
Action Storefronts,HT10200-358,11424,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,11/Jun/25 12:20 PM,11/Jun/25 12:20 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1dbbe6d9,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001gz:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:20 PM
Adler Construction,HT10200-344,11307,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:58 PM,11/Jun/25 12:00 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d58e405,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001h3:009,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:00 PM
Berlin Steel,HT10200-343,11306,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:58 PM,11/Jun/25 12:00 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5346a7de,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001h3:00i,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:00 PM
Clune Construction,HT10200-342,11305,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:58 PM,11/Jun/25 12:01 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32de5a9f,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001h3:01,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:01 PM
Commodore Construction,HT10200-341,11304,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:57 PM,11/Jun/25 12:01 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5790e647,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001h3:02,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:01 PM
Dynamic Bldg Sols,HT10200-340,11303,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:57 PM,11/Jun/25 12:01 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a134d89,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001kf:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:01 PM
Formanford,HT10200-339,11302,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:57 PM,11/Jun/25 12:01 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c3a3525,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001kz:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:01 PM
Hinge Door,HT10200-338,11301,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:57 PM,11/Jun/25 12:01 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56b25f13,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001l9:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:01 PM
Icon,HT10200-337,11300,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:57 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@749fa390,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001le:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
Superstructures,HT10200-336,11299,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:56 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79b89323,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:i,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
Jerome Architectural,HT10200-335,11298,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:55 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a9d67f,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lg:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
11th Workshop,HT10200-334,11297,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:55 PM,11/Jun/25 12:03 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ba377b8,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:z,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:03 PM
S&J,HT10200-333,11296,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:53 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@318edfff,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:d,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
SCI Construction,HT10200-332,11295,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:53 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d5640a0,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:9,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
TGP Architecture,HT10200-331,11294,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:51 PM,11/Jun/25 12:03 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75681a1c,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:r,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:03 PM
W&W Glass,HT10200-330,11293,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:03 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@81cef55,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:y,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:03 PM
National Wall,HT10200-329,11292,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,0,6000,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ced3aeb,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
Versatile,HT10200-328,11291,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:03 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5935602b,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:x,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:03 PM
Variant,HT10200-327,11290,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:03 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2be9e1cc,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001li:v,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:03 PM
Mass Merch,HT10200-326,11289,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:02 PM,,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@490307ab,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lg:i,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
Metralite,HT10200-325,11288,Epic,To Do,HT10200,10200-HITECHTASKS.02,business,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,Medium,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,30/May/25 2:48 PM,11/Jun/25 12:02 PM,16/Jun/25 5:18 PM,,,0,,,Jed Ferreras,712020:454ffdf8-c7cb-4d48-8fd4-57fa0b162885,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4496122c,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001lh:,,,,,,,,,,,,,,,,,,,,,,,,,,To Do,11/Jun/25 12:02 PM
